subtype,hemisphere,year,clade_single,fit_total_escape,fit_predicted_prevalence,fit_mutual_information,fit_dissimilarity_charge_hydro,fit_accessibility_wcn,fit_fitness_eve,fit_antigenic_novelty
H3N2,south,2022,3C.2a1b.2a.1a,0.4456,0.09745,0.2896025622497643,2.9527281,1.1940258,27.1691591,4.314351629222035
H3N2,south,2022,3C.2a1b.2a.2a.2,0.8683599999999999,0.12522,0.2630292125978054,7.526715399999999,2.8680305,43.9665837,11.797538099957668
H3N2,south,2022,3C.2a1b.2a.2d,0.44516000000000006,0.1561,0.4105601402927952,8.7795065,2.2964085999999995,40.7867433,15.462108622452323
H3N2,south,2023,3C.2a1b.1a,0.362,0.0,0.0195044807590933,0.2026573999999998,0.7103605999999999,13.9606626,18.90027656089562
H3N2,south,2023,3C.2a1b.2a.1a,0.0927,0.0435,0.9400921658986175,1.6581058,0.5795824999999999,12.597595000000002,78.14835654151081
H3N2,south,2023,3C.2a1b.2a.2a,0.24008,0.1187666666666666,0.0541156176810351,2.4687352,1.6069004999999996,46.3506464,229.99816923116745
H3N2,south,2023,3C.2a1b.2a.2a.1,0.2026,0.1439,0.9253731343283582,4.450008,0.9652829999999996,27.1175227,361.7671268162194
H3N2,south,2023,3C.2a1b.2a.2a.1a,0.31279999999999997,0.191,0.2171294589599043,6.1768228,1.990216,42.486114,1526.2826782517182
H3N2,south,2023,3C.2a1b.2a.2a.2,0.0,0.1186,0.056749785038693,5.1451126,0.7497216999999999,14.747711,58.18792604245117
H3N2,south,2023,3C.2a1b.2a.2a.3,0.76425,0.069325,0.3635237016794835,6.7897795,2.5595830999999998,60.684234,902.2074467707492
H3N2,south,2023,3C.2a1b.2a.2a.3a,0.94505,0.06598,0.2513415087070889,7.1214006,3.1247881,73.7912895,246.95777661179625
H3N2,south,2023,3C.2a1b.2a.2a.3a.1,0.94505,0.07475,0.2661026701057421,12.2665132,3.8745097999999993,88.5390005,43.051331496104126
H3N2,south,2023,3C.2a1b.2a.2a.3b,0.65755,0.0579999999999999,0.2822181740275421,3.1872478,2.6540055,59.451049,262.5023212062444
H3N2,south,2023,3C.2a1b.2a.2b,0.3406,0.1375,0.2184874568463858,10.3873267,2.2440324999999994,52.955474,339.2912190592822
H3N2,south,2024,3C.2a1b.2a.2a.1b,0.05964,0.1750999999999999,0.9454887218045112,1.2712145,0.3892743999999999,15.1622013,206.21037515036596
H3N2,south,2024,3C.2a1b.2a.2a.3,0.65755,0.2479666666666666,0.6440009612555601,2.8053409999999994,1.9042838,50.56475950000001,45.16642098116618
H3N2,south,2024,3C.2a1b.2a.2a.3a,0.8391325,0.2547799999999999,0.5620783170470613,3.9107448,2.8440616,81.8348102,16.95922186386386
H3N2,south,2024,3C.2a1b.2a.2a.3a.1,0.9086099999999999,0.285975,0.6821072172705438,5.057979999999999,3.0343805,81.4137592,469.8566967727396
H3N2,south,2024,3C.2a1b.2a.2b,0.48899000000000004,0.16595,0.2107456297848048,6.504907452631579,1.8605008999999997,54.20557834210527,139.993043400252
